day,model,n,correct,hallucinated,incorrect,refused,uncertain,hallucination_rate_pct,accuracy_pct
2026-03-10,claude-haiku-4-5-20251001,98,85,2,10,0,1,2.04,86.73
2026-03-10,claude-opus-4-6,98,94,0,4,0,0,0.0,95.92
2026-03-10,claude-sonnet-4-6,98,88,4,6,0,0,4.08,89.8
2026-03-10,gemini-2.5-pro,98,90,2,6,0,0,2.04,91.84
2026-03-10,gpt-4.1,98,89,5,4,0,0,5.1,90.82
2026-03-10,gpt-4o-mini,98,82,11,5,0,0,11.22,83.67
2026-03-10,gpt-5.4,98,78,16,4,0,0,16.33,79.59
2026-03-10,grok-3,98,93,2,3,0,0,2.04,94.9
2026-03-10,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,147,133,5,1,8,0,3.4,90.48
2026-03-10,mistral-large-latest,147,133,8,6,0,0,5.44,90.48
2026-03-10,o3,98,76,16,5,0,1,16.33,77.55
2026-03-15,claude-haiku-4-5-20251001,49,45,0,4,0,0,0.0,91.84
2026-03-15,claude-opus-4-6,49,47,0,2,0,0,0.0,95.92
2026-03-15,claude-sonnet-4-6,49,46,0,3,0,0,0.0,93.88
2026-03-15,gemini-2.5-pro,49,46,1,2,0,0,2.04,93.88
2026-03-15,gpt-4.1,49,46,1,2,0,0,2.04,93.88
2026-03-15,gpt-4o-mini,49,40,6,3,0,0,12.24,81.63
2026-03-15,gpt-5.4,49,41,6,2,0,0,12.24,83.67
2026-03-15,grok-3,49,45,2,2,0,0,4.08,91.84
2026-03-15,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,49,44,2,1,2,0,4.08,89.8
2026-03-15,mistral-large-latest,49,44,3,2,0,0,6.12,89.8
2026-03-15,o3,49,36,8,4,1,0,16.33,73.47
2026-03-22,claude-haiku-4-5-20251001,49,46,0,3,0,0,0.0,93.88
2026-03-22,claude-opus-4-6,49,47,0,2,0,0,0.0,95.92
2026-03-22,claude-sonnet-4-6,49,47,1,1,0,0,2.04,95.92
2026-03-22,gemini-2.5-pro,49,46,1,2,0,0,2.04,93.88
2026-03-22,gpt-4.1,49,45,2,2,0,0,4.08,91.84
2026-03-22,gpt-4o-mini,49,40,6,3,0,0,12.24,81.63
2026-03-22,gpt-5.4,49,39,7,2,1,0,14.29,79.59
2026-03-22,grok-3,49,47,1,1,0,0,2.04,95.92
2026-03-22,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,49,45,1,1,2,0,2.04,91.84
2026-03-22,mistral-large-latest,49,44,3,2,0,0,6.12,89.8
2026-03-22,o3,49,35,9,4,1,0,18.37,71.43
2026-03-29,claude-haiku-4-5-20251001,49,44,0,5,0,0,0.0,89.8
2026-03-29,claude-opus-4-6,49,47,0,2,0,0,0.0,95.92
2026-03-29,claude-sonnet-4-6,49,46,1,2,0,0,2.04,93.88
2026-03-29,gemini-2.5-pro,49,44,1,4,0,0,2.04,89.8
2026-03-29,gpt-4.1,49,45,2,2,0,0,4.08,91.84
2026-03-29,gpt-4o-mini,49,41,5,1,1,1,10.2,83.67
2026-03-29,gpt-5.4,49,40,5,4,0,0,10.2,81.63
2026-03-29,grok-3,49,47,1,1,0,0,2.04,95.92
2026-03-29,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,49,43,3,1,2,0,6.12,87.76
2026-03-29,mistral-large-latest,49,44,3,2,0,0,6.12,89.8
2026-03-29,o3,49,38,8,2,0,1,16.33,77.55
2026-04-05,claude-haiku-4-5-20251001,49,44,0,5,0,0,0.0,89.8
2026-04-05,claude-opus-4-6,49,47,0,2,0,0,0.0,95.92
2026-04-05,claude-sonnet-4-6,49,46,1,2,0,0,2.04,93.88
2026-04-05,gemini-2.5-pro,49,46,0,2,1,0,0.0,93.88
2026-04-05,gpt-4.1,49,44,3,2,0,0,6.12,89.8
2026-04-05,gpt-4o-mini,49,40,7,2,0,0,14.29,81.63
2026-04-05,gpt-5.4,49,39,8,2,0,0,16.33,79.59
2026-04-05,grok-3,49,46,1,2,0,0,2.04,93.88
2026-04-05,mistral-large-latest,49,45,2,2,0,0,4.08,91.84
2026-04-05,o3,49,37,9,3,0,0,18.37,75.51
2026-04-08,amazon.nova-2-lite-v1:0,61,50,7,3,1,0,11.48,81.97
2026-04-08,amazon.nova-pro-v1:0,61,50,8,3,0,0,13.11,81.97
2026-04-08,claude-haiku-4-5-20251001,61,57,1,3,0,0,1.64,93.44
2026-04-08,claude-opus-4-6,61,57,0,3,1,0,0.0,93.44
2026-04-08,claude-sonnet-4-6,61,57,2,2,0,0,3.28,93.44
2026-04-08,command-a-reasoning-08-2025,61,34,16,11,0,0,26.23,55.74
2026-04-08,deepseek-chat,61,57,2,2,0,0,3.28,93.44
2026-04-08,deepseek-reasoner,61,58,2,1,0,0,3.28,95.08
2026-04-08,gemini-2.5-pro,61,58,0,3,0,0,0.0,95.08
2026-04-08,gemini-3-flash-preview,61,58,0,3,0,0,0.0,95.08
2026-04-08,gpt-4.1,122,114,4,4,0,0,3.28,93.44
2026-04-08,gpt-4o-mini,61,52,6,3,0,0,9.84,85.25
2026-04-08,gpt-5.4,61,48,10,3,0,0,16.39,78.69
2026-04-08,gpt-5.4-mini,61,44,12,3,1,1,19.67,72.13
2026-04-08,grok-3,61,59,1,1,0,0,1.64,96.72
2026-04-08,grok-4.20-0309-non-reasoning,61,58,1,2,0,0,1.64,95.08
2026-04-08,meta-llama/Llama-3.3-70B-Instruct-Turbo,61,60,0,1,0,0,0.0,98.36
2026-04-08,mistral-large-latest,61,55,4,2,0,0,6.56,90.16
2026-04-08,o3,61,47,8,5,1,0,13.11,77.05
2026-04-12,amazon.nova-2-lite-v1:0,61,52,7,2,0,0,11.48,85.25
2026-04-12,amazon.nova-pro-v1:0,61,52,6,3,0,0,9.84,85.25
2026-04-12,claude-haiku-4-5-20251001,61,54,1,6,0,0,1.64,88.52
2026-04-12,claude-opus-4-6,61,58,0,3,0,0,0.0,95.08
2026-04-12,claude-sonnet-4-6,61,57,1,3,0,0,1.64,93.44
2026-04-12,command-a-reasoning-08-2025,61,33,16,12,0,0,26.23,54.1
2026-04-12,deepseek-chat,61,57,2,2,0,0,3.28,93.44
2026-04-12,deepseek-reasoner,61,55,2,4,0,0,3.28,90.16
2026-04-12,gemini-2.5-pro,61,56,1,3,1,0,1.64,91.8
2026-04-12,gemini-3-flash-preview,61,57,0,3,1,0,0.0,93.44
2026-04-12,gpt-4.1,61,58,1,2,0,0,1.64,95.08
2026-04-12,gpt-4o-mini,61,52,6,3,0,0,9.84,85.25
2026-04-12,gpt-5.4,61,47,8,5,0,1,13.11,77.05
2026-04-12,gpt-5.4-mini,61,47,8,5,0,1,13.11,77.05
2026-04-12,grok-3,61,59,1,1,0,0,1.64,96.72
2026-04-12,grok-4.20-0309-non-reasoning,61,57,2,2,0,0,3.28,93.44
2026-04-12,meta-llama/Llama-3.3-70B-Instruct-Turbo,61,59,0,2,0,0,0.0,96.72
2026-04-12,mistral-large-latest,61,56,3,2,0,0,4.92,91.8
2026-04-12,o3,61,46,8,6,1,0,13.11,75.41
2026-04-19,amazon.nova-2-lite-v1:0,61,55,3,3,0,0,4.92,90.16
2026-04-19,amazon.nova-pro-v1:0,61,52,7,2,0,0,11.48,85.25
2026-04-19,claude-haiku-4-5-20251001,61,57,0,4,0,0,0.0,93.44
2026-04-19,claude-opus-4-6,61,59,0,2,0,0,0.0,96.72
2026-04-19,claude-sonnet-4-6,61,59,0,2,0,0,0.0,96.72
2026-04-19,command-a-reasoning-08-2025,61,35,14,12,0,0,22.95,57.38
2026-04-19,deepseek-chat,61,56,3,2,0,0,4.92,91.8
2026-04-19,deepseek-reasoner,61,59,1,1,0,0,1.64,96.72
2026-04-19,gemini-2.5-pro,61,57,1,2,1,0,1.64,93.44
2026-04-19,gemini-3-flash-preview,61,54,3,3,1,0,4.92,88.52
2026-04-19,gpt-4.1,61,57,2,2,0,0,3.28,93.44
2026-04-19,gpt-4o-mini,61,50,7,4,0,0,11.48,81.97
2026-04-19,gpt-5.4,61,52,7,2,0,0,11.48,85.25
2026-04-19,gpt-5.4-mini,61,48,8,5,0,0,13.11,78.69
2026-04-19,grok-3,61,59,1,1,0,0,1.64,96.72
2026-04-19,grok-4.20-0309-non-reasoning,61,60,0,1,0,0,0.0,98.36
2026-04-19,meta-llama/Llama-3.3-70B-Instruct-Turbo,61,60,0,1,0,0,0.0,98.36
2026-04-19,mistral-large-latest,57,52,3,2,0,0,5.26,91.23
2026-04-19,o3,61,44,12,4,0,1,19.67,72.13
2026-04-26,amazon.nova-2-lite-v1:0,61,57,2,2,0,0,3.28,93.44
2026-04-26,amazon.nova-pro-v1:0,61,53,6,2,0,0,9.84,86.89
2026-04-26,claude-haiku-4-5-20251001,61,57,0,4,0,0,0.0,93.44
2026-04-26,claude-opus-4-6,61,57,0,4,0,0,0.0,93.44
2026-04-26,claude-sonnet-4-6,61,57,2,2,0,0,3.28,93.44
2026-04-26,command-a-reasoning-08-2025,61,34,16,11,0,0,26.23,55.74
2026-04-26,deepseek-chat,61,59,1,1,0,0,1.64,96.72
2026-04-26,deepseek-reasoner,61,59,1,1,0,0,1.64,96.72
2026-04-26,gemini-2.5-pro,61,59,0,2,0,0,0.0,96.72
2026-04-26,gemini-3-flash-preview,61,57,2,1,1,0,3.28,93.44
2026-04-26,gpt-4.1,61,57,2,2,0,0,3.28,93.44
2026-04-26,gpt-4o-mini,61,52,5,4,0,0,8.2,85.25
2026-04-26,gpt-5.4,61,47,10,3,1,0,16.39,77.05
2026-04-26,gpt-5.4-mini,61,46,12,3,0,0,19.67,75.41
2026-04-26,grok-3,61,59,1,1,0,0,1.64,96.72
2026-04-26,grok-4.20-0309-non-reasoning,61,58,1,2,0,0,1.64,95.08
2026-04-26,meta-llama/Llama-3.3-70B-Instruct-Turbo,61,59,0,2,0,0,0.0,96.72
2026-04-26,mistral-large-latest,55,49,4,2,0,0,7.27,89.09
2026-04-26,o3,61,50,9,2,0,0,14.75,81.97
2026-05-03,amazon.nova-2-lite-v1:0,61,56,3,2,0,0,4.92,91.8
2026-05-03,amazon.nova-pro-v1:0,61,49,8,4,0,0,13.11,80.33
2026-05-03,claude-haiku-4-5-20251001,61,57,0,4,0,0,0.0,93.44
2026-05-03,claude-opus-4-6,61,59,0,2,0,0,0.0,96.72
2026-05-03,claude-sonnet-4-6,61,56,2,3,0,0,3.28,91.8
2026-05-03,command-a-reasoning-08-2025,61,34,16,11,0,0,26.23,55.74
2026-05-03,deepseek-chat,61,58,1,2,0,0,1.64,95.08
2026-05-03,deepseek-reasoner,61,60,0,1,0,0,0.0,98.36
2026-05-03,gemini-2.5-pro,61,57,1,2,1,0,1.64,93.44
2026-05-03,gemini-3-flash-preview,61,58,0,2,1,0,0.0,95.08
2026-05-03,gpt-4.1,61,56,3,2,0,0,4.92,91.8
2026-05-03,gpt-4o-mini,61,53,5,3,0,0,8.2,86.89
2026-05-03,gpt-5.4,61,50,8,3,0,0,13.11,81.97
2026-05-03,gpt-5.4-mini,61,42,14,5,0,0,22.95,68.85
2026-05-03,grok-3,61,58,1,2,0,0,1.64,95.08
2026-05-03,grok-4.20-0309-non-reasoning,61,58,1,2,0,0,1.64,95.08
2026-05-03,meta-llama/Llama-3.3-70B-Instruct-Turbo,61,60,0,1,0,0,0.0,98.36
